STATUS | wrapper  | 2009/04/21 11:26:25 | --> Wrapper Started as Service
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Hall           (id: 10, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 11:26:49.656 - [ INFO ] > Zone Extension [ loginEx ] created, for zone:loginZone
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | Zone: multiChat
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	Main Lobby         (id: 11, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | Zone: yahtzee
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Entrance       (id: 12, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | Zone: slogin
INFO   | jvm 1    | 2009/04/21 11:26:49 | 
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Lobby          (id: 13, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Garden         (id: 14, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:49 | 	The Swimming Pool  (id: 15, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:50 | 11:26:50.031 - [ INFO ] > Zone Extension [ slogin ] created, for zone:slogin
INFO   | jvm 1    | 2009/04/21 11:26:50 | 
INFO   | jvm 1    | 2009/04/21 11:26:50 | Zone: pixel
INFO   | jvm 1    | 2009/04/21 11:26:50 | 
INFO   | jvm 1    | 2009/04/21 11:26:50 | 	The Basement       (id: 16, max: 4, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:51 | 11:26:50.484 - [ INFO ] > Zone Extension [ pixel ] created, for zone:pixel
INFO   | jvm 1    | 2009/04/21 11:26:51 | [pixelGame.as]: PixelGame extension started!
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | Zone: letters
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | 	Main               (id: 17, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:51 | 11:26:50.828 - [ INFO ] > Zone Extension [ Letters ] created, for zone:letters
INFO   | jvm 1    | 2009/04/21 11:26:51 | [Letters.as]: Letters script running.
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | 11:26:50.890 - [ INFO ] > Default Buddy List Persister <INITED>
INFO   | jvm 1    | 2009/04/21 11:26:51 | Zone: messenger
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | 	Main               (id: 18, max: 40, pass:N)
